"","date","time","timezone","content","replies","retweets","likes","hashtags"
"8840","2018-04-05","16:39:26","Hora est. Pacífico, Sudamérica","La respuesta a todo es facturas electrónicas hahahha pero con electricaribe si difícil #DebateCaribe","0","0","1","#DebateCaribe"
"8841","2018-04-05","16:39:26","Hora est. Pacífico, Sudamérica","El árbol que mejor frutos da, es al que más le tiran pidra. #DuquePresidente #DuqueEsElQueEs#DebateCaribe","1","0","0","#DuquePresidente,#DuqueEsElQueEs,#DebateCaribe"
"8842","2018-04-05","16:39:26","Hora est. Pacífico, Sudamérica","#DebateCaribe Ojalá Fajardo tenga al menos una tía política de la costa porque al parecer lo importante es la es árbol genealógico o la filiación, más no las propuestas. Repito, echar ideas bonitas como burbujas no es proponer.","0","1","3","#DebateCaribe"
"8843","2018-04-05","16:39:25","Hora est. Pacífico, Sudamérica","petro y que trajo el bus con el que anda por Colombia a la @UninorteCO #DebateCaribe #DebatePresidencial","0","0","0","#DebateCaribe,#DebatePresidencial"
"8844","2018-04-05","16:39:23","Hora est. Pacífico, Sudamérica","Que la costa caribe  y el país siga votando por los mis mismos con rostro prestado y después no se estén quejando... #DebateCaribe","0","0","3","#DebateCaribe"
"8845","2018-04-05","16:39:23","Hora est. Pacífico, Sudamérica","Después del #DebateCaribe, para cuándo el debate en el oriente colombiano @vanguardiacom @SillaSantander.","0","1","1","#DebateCaribe"
"8846","2018-04-05","16:39:23","Hora est. Pacífico, Sudamérica","#DebateCaribe Petro, propongas lo que propongas en materia ambiental con tu pulida demagogia, NUNCA se nos olvida que eres un resentido social, izquierdozo, a ti NO se te puede creer.","0","0","2","#DebateCaribe"
"8847","2018-04-05","16:39:23","Hora est. Pacífico, Sudamérica","Siempre he considerado un candidato interesante a Humberto de la Calle, lástima que su imagen no logró un impacto en la sociedad, debido al partido de su candidatura que se asocia a la clase política tradicional, me hubiese gustado verlo en ese papel de Presidente.#Debatecaribe","0","0","0","#Debatecaribe"
"8848","2018-04-05","16:39:22","Hora est. Pacífico, Sudamérica","#DebateCaribeIvan Duque, si su abuela fue de la costa, no quiere decir que va a ser un buen presidente, me disculpa joven.","1","9","17","#DebateCaribeIvan"
"8849","2018-04-05","16:39:22","Hora est. Pacífico, Sudamérica","#debatecaribe @IvanDuque cierra hablando de sus antepasados costeños, que la costa quiere progreso, con turismo, energías renovables, jornada única, salud decente (cambio de modelo de EPS) y equidad","0","0","0","#debatecaribe"
"8850","2018-04-05","16:39:22","Hora est. Pacífico, Sudamérica","El martes Duque pregonaba feliz sobre sus ancestros antioqueños. Hoy saca a relucir a una abuela cartagenera. El man tiene una especialización de Harvard en oportunismo. #DebateCaribe","0","2","11","#DebateCaribe"
"8851","2018-04-05","16:39:21","Hora est. Pacífico, Sudamérica","Hoy @IvanDuque fue al #DebateCaribe por un tratamiento capilar completo.","0","0","0","#DebateCaribe"
"8852","2018-04-05","16:39:21","Hora est. Pacífico, Sudamérica","No se ustedes pero yo no le creo nada a la carreta y a las vueltas para responder una pregunta al señor @IvanDuque #DebateCaribe","0","0","4","#DebateCaribe"
"8853","2018-04-05","16:39:21","Hora est. Pacífico, Sudamérica","Fajardo es tan mal candidato, que terminara por unirsele a petro.@elheraldoco#DebateCaribe@petrogustavo#PetroPresidente#FajardoPresidente@sergio_fajardo","0","1","1","#DebateCaribe,#PetroPresidente,#FajardoPresidente"
"8854","2018-04-05","16:39:21","Hora est. Pacífico, Sudamérica","Ahora resulta que Iván Duque es costeño y de Cartagena que no es lo mismo.#DebateCaribe","0","1","1","#DebateCaribe"
"8855","2018-04-05","16:39:20","Hora est. Pacífico, Sudamérica","#DebateCaribe Falto debate sobre la salud, el segundo tema mas importante para los colombianos después de la corrupción.","0","0","0","#DebateCaribe"
